0.72427,0.8021,0.11657,0.0028954
0.71849,0.50045,0.49812,0.0027383
0.80877,0.75783,0.026634,0.006603
0.82205,0.82657,0.13172,0.0036609
0.37462,0.69594,0.029791,0.00023981
0.85167,0.50126,0.029805,0.00043607
0.75791,0.75348,0.28647,0.0024274
0.31691,0.4798,0.25002,0.00022363
0.45889,0.17993,0.080931,0.00018407
0.46749,0.72877,0.023229,1.9844e-006
0.6249,0.76617,0.096962,0.0012468
0.59003,0.78885,0.0012719,4.6761e-005
0.50079,0.76067,0.0022324,9.9059e-005
0.62198,0.80051,0.0028441,0.00012444
0.5332,0.77776,0.0013683,0.00011214
0.57165,0.7214,0.0023924,0.00010239
0.521,0.73184,0.0035431,4.9881e-005
0.73045,0.55017,0.037911,0.0013854
0.7119,0.53521,0.28954,0.0024397
0.17334,0.26095,0.090576,0.00139
0.1684,0.57553,0.0074294,7.6336e-005
0.2457,0.62617,0.0020311,0.00015162
0.88429,0.64456,0.031517,0.0029355
0.25094,0.66649,0.022095,9.5609e-005
0.83792,0.76136,0.036861,0.47824
0.60175,0.4586,0.035872,0.00097099
0.5697,0.769,0.0018028,4.9698e-005
0.86758,0.81501,0.018897,0.0055404
0.81122,0.84019,0.024796,0.0021874
0.1401,0.43989,0.014883,0.00027867
0.5803,0.77736,0.0016543,0.00014379
0.66637,0.5035,0.13399,0.0014889
0.75003,0.61122,0.14899,0.0032758
0.19832,0.24334,0.41341,0.00096326
0.51916,0.78356,0.001052,6.5532e-005
0.75401,0.31505,0.044981,0.00015027
0.51554,0.74878,0.00157,3.448e-005
0.15114,0.51735,0.0091073,9.512e-005
0.50489,0.74211,0.0014346,8.2054e-005
0.84721,0.4747,0.19299,0.0015773
0.72889,0.83846,0.024788,0.0023503
0.54889,0.76483,0.0035817,3.1023e-005
0.58364,0.78779,0.0011826,6.0409e-005
0.57547,0.77706,0.0014221,3.6316e-005
0.91704,0.79095,0.013668,0.0082758
0.57208,0.40416,0.24082,0.0011305
0.56366,0.77188,0.0015143,4.6304e-005
0.77511,0.65352,0.024325,0.0019541
0.20579,0.61116,0.0078523,0.00021089
0.51047,0.71499,0.26043,0.00050601
