sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.14;0.01;9.72;-0.13;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.08;35.16;-13.67;6.82;0.0;0.76;3.5;-0.01;32.664;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;114504;2014-12-10 11:21:31:550
-0.09;0.01;9.72;-0.13;0.0;9.8;0.03;0.0;-0.01;0.0;0.0;0.0;320.0;-4.31;34.25;-13.44;7.0;0.0;0.76;3.5;-0.01;32.81;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;115005;2014-12-10 11:21:32:051
-0.12;0.0;9.7;-0.13;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.92;34.68;-14.16;8.43;0.0;0.76;3.5;-0.01;34.388;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;115504;2014-12-10 11:21:32:550
-0.13;0.02;9.73;-0.13;0.0;9.8;0.0;0.01;0.01;0.0;0.0;0.0;320.0;-2.76;34.43;-13.5;5.33;0.0;0.76;3.5;-0.01;33.189;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;116004;2014-12-10 11:21:33:050
-0.12;0.0;9.71;-0.13;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-5.46;34.32;-14.88;8.69;0.0;0.76;3.5;-0.01;33.032;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;116504;2014-12-10 11:21:33:550
-0.2;-0.03;9.87;-0.13;0.0;9.8;-0.06;-0.04;0.12;0.0;0.0;0.0;320.0;-4.98;34.32;-14.88;8.69;0.0;0.76;3.5;-0.01;34.236;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;117004;2014-12-10 11:21:34:050
-0.13;0.0;9.71;-0.13;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.14;33.96;-13.67;7.02;0.0;0.76;3.5;-0.01;33.959;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;117506;2014-12-10 11:21:34:552
-0.1;0.02;9.73;-0.13;0.0;9.8;0.02;0.02;0.0;0.0;0.0;0.0;320.0;-3.95;35.34;-15.0;6.84;0.0;0.76;3.5;-0.01;33.962;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;118004;2014-12-10 11:21:35:050
-0.18;0.01;9.66;-0.13;0.0;9.8;-0.03;0.01;-0.04;0.0;0.0;0.0;320.0;-4.08;32.93;-13.67;7.23;0.0;0.76;3.5;-0.01;33.537;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;118505;2014-12-10 11:21:35:551
-0.16;-0.02;9.7;-0.13;0.0;9.8;-0.03;-0.02;0.0;0.0;0.0;0.0;320.0;-4.44;33.05;-13.08;7.21;0.0;0.76;3.5;-0.01;33.143;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;119004;2014-12-10 11:21:36:050
-0.12;0.0;9.71;-0.13;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-5.16;34.86;-14.34;8.43;0.0;0.76;3.5;-0.01;33.626;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;119505;2014-12-10 11:21:36:551
-0.16;-0.02;9.72;-0.13;0.0;9.8;-0.02;-0.02;0.01;0.0;0.0;0.0;320.0;-4.02;33.48;-14.52;7.25;0.0;0.76;3.5;-0.01;33.869;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;120005;2014-12-10 11:21:37:051
-0.1;0.03;9.69;-0.13;0.0;9.8;0.02;0.02;-0.01;0.0;0.0;0.0;320.0;-4.19;34.73;-14.46;6.82;0.0;0.76;3.5;-0.01;33.852;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;120504;2014-12-10 11:21:37:550
-0.23;-0.06;9.7;-0.14;0.0;9.8;-0.08;-0.06;0.0;0.0;0.0;0.0;320.0;-4.73;35.39;-13.67;8.43;0.0;0.76;3.5;-0.01;35.03;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;121005;2014-12-10 11:21:38:051
-0.16;-0.01;9.68;-0.13;0.0;9.8;-0.03;-0.03;-0.01;0.0;0.0;0.0;320.0;-4.31;34.32;-14.52;7.07;0.0;0.82;3.5;-0.01;34.683;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;121507;2014-12-10 11:21:38:553
-0.13;0.0;9.76;-0.13;0.0;9.8;0.0;-0.01;0.03;0.0;0.0;0.0;320.0;-4.38;34.73;-14.7;6.84;0.0;0.76;3.5;-0.01;33.738;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;122004;2014-12-10 11:21:39:050
-0.15;0.0;9.69;-0.13;0.0;9.8;0.02;0.01;0.0;0.0;0.0;0.0;320.0;-4.98;33.18;-14.34;8.93;0.0;0.76;3.5;-0.01;34.054;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;122504;2014-12-10 11:21:39:550
-0.1;0.01;9.73;-0.14;0.0;9.8;0.04;0.02;0.02;0.0;0.0;0.0;320.0;-5.94;34.62;-14.7;10.07;0.0;0.82;3.5;-0.01;33.37;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;123005;2014-12-10 11:21:40:051
0.09;-0.06;10.07;-0.12;0.0;9.8;0.19;-0.08;0.53;0.0;-0.09;0.0;320.0;-4.19;34.25;-13.86;7.04;0.0;0.82;3.5;-0.01;34.036;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;123504;2014-12-10 11:21:40:550
0.0;0.13;9.73;-0.13;0.0;9.8;0.04;0.04;-0.01;0.0;-0.01;0.0;320.0;-5.46;33.84;-15.12;8.67;0.0;0.7;3.5;-0.01;33.384;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;124005;2014-12-10 11:21:41:051
-0.17;-0.07;9.71;-0.14;0.0;9.8;-0.04;-0.08;0.02;0.0;0.01;0.0;320.0;-4.73;33.96;-13.2;8.65;0.0;0.76;3.5;-0.01;33.07;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;124504;2014-12-10 11:21:41:550
-0.12;0.0;9.7;-0.14;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-3.95;34.02;-13.62;7.04;0.0;0.82;3.5;-0.01;32.938;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;125005;2014-12-10 11:21:42:051
-0.15;0.0;9.69;-0.14;0.0;9.8;-0.01;-0.01;0.0;0.0;0.0;0.0;320.0;-4.31;34.25;-14.7;7.07;0.0;0.82;3.5;-0.01;33.069;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;125505;2014-12-10 11:21:42:551
-0.13;0.01;9.69;-0.14;0.0;9.8;0.0;0.01;0.0;0.0;0.0;0.0;320.0;-4.14;33.71;-13.74;7.04;0.0;0.82;3.5;-0.01;33.138;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;126004;2014-12-10 11:21:43:050
-0.14;0.02;9.7;-0.14;0.0;9.8;0.0;0.01;0.0;0.0;0.0;0.0;320.0;-5.04;35.16;-14.46;8.45;0.0;0.82;3.5;-0.01;33.314;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;126505;2014-12-10 11:21:43:551
-0.14;0.01;9.72;-0.14;0.0;9.8;0.0;0.0;0.01;0.0;0.0;0.0;320.0;-4.79;34.91;-15.0;8.47;0.0;0.82;3.5;-0.01;32.828;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;127005;2014-12-10 11:21:44:051
-0.15;0.0;9.71;-0.14;0.0;9.8;-0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.38;34.07;-13.56;7.04;0.0;0.82;3.5;-0.01;32.796;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;127505;2014-12-10 11:21:44:551
-0.13;0.03;9.72;-0.14;0.0;9.8;0.0;0.02;0.01;0.0;0.0;0.0;320.0;-3.84;36.3;-13.92;6.65;0.0;0.82;3.5;-0.01;33.023;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;128005;2014-12-10 11:21:45:051
-0.16;-0.02;9.72;-0.14;0.0;9.8;-0.01;-0.02;0.01;0.0;0.0;0.0;320.0;-4.85;33.78;-13.92;8.69;0.0;0.82;3.5;-0.01;32.77;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;128505;2014-12-10 11:21:45:551
-0.15;-0.02;9.71;-0.14;0.0;9.8;-0.02;-0.02;0.0;0.0;0.01;0.0;320.0;-4.67;33.84;-14.1;8.69;0.0;0.82;3.5;-0.01;32.623;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;129004;2014-12-10 11:21:46:050
-0.15;-0.02;9.73;-0.14;0.0;9.8;-0.01;-0.02;0.01;0.0;0.0;0.0;320.0;-3.17;35.16;-14.21;5.22;0.0;0.82;3.5;-0.01;33.625;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;129505;2014-12-10 11:21:46:551
-0.15;0.0;9.7;-0.14;0.0;9.8;-0.01;0.0;-0.01;0.0;0.0;0.0;320.0;-4.56;34.43;-14.28;8.69;0.0;0.82;3.5;-0.01;32.877;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;130004;2014-12-10 11:21:47:050
-0.15;-0.01;9.74;-0.14;0.0;9.8;-0.01;-0.01;0.02;0.0;0.0;0.0;320.0;-4.62;34.98;-14.04;6.84;0.0;0.82;3.5;-0.01;33.079;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;130505;2014-12-10 11:21:47:551
-0.11;0.0;9.72;-0.14;0.0;9.8;0.02;0.0;0.01;0.0;0.01;0.0;320.0;-4.08;35.28;-14.1;6.84;0.0;0.82;3.5;-0.01;33.306;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;131004;2014-12-10 11:21:48:050
-0.14;0.01;9.71;-0.14;0.0;9.8;0.0;0.0;0.01;0.0;0.0;0.0;320.0;-4.79;34.14;-14.16;8.69;0.0;0.82;3.5;-0.01;33.273;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;131505;2014-12-10 11:21:48:551
-0.14;0.0;9.82;-0.14;0.0;9.8;0.0;-0.01;0.09;0.0;0.0;0.0;320.0;-3.48;35.75;-14.1;5.08;0.0;0.82;3.5;-0.01;33.23;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;132004;2014-12-10 11:21:49:050
-0.13;0.01;9.69;-0.14;0.0;9.8;0.0;0.01;0.0;0.0;0.0;0.0;320.0;-5.16;34.73;-13.92;8.45;0.0;0.82;3.5;-0.01;33.394;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;132504;2014-12-10 11:21:49:550
-0.11;0.06;9.72;-0.14;0.0;9.8;0.03;0.06;0.0;0.0;0.0;0.0;320.0;-5.04;35.04;-14.46;8.45;0.0;0.82;3.5;-0.01;32.794;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;133005;2014-12-10 11:21:50:051
-0.1;0.04;9.71;-0.14;0.0;9.8;0.03;0.03;0.0;0.0;0.0;0.0;320.0;-4.44;35.04;-13.08;6.82;0.0;0.82;3.5;-0.01;33.369;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;133505;2014-12-10 11:21:50:551
-0.08;0.12;9.69;-0.15;0.0;9.8;0.07;0.12;-0.03;0.0;-0.02;0.0;320.0;-5.1;33.23;-13.67;8.95;0.0;0.82;3.5;-0.01;32.969;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;134005;2014-12-10 11:21:51:051
-0.18;-0.03;9.68;-0.15;0.0;9.8;-0.04;-0.11;-0.04;0.0;0.01;0.0;320.0;-4.44;34.07;-14.1;7.06;0.0;0.88;3.5;-0.01;32.683;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;134506;2014-12-10 11:21:51:552
-0.19;0.0;9.71;-0.16;0.0;9.8;-0.05;0.0;0.0;0.0;0.01;0.0;320.0;-4.19;34.73;-13.86;6.89;0.0;0.94;3.5;-0.01;32.951;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;135005;2014-12-10 11:21:52:051
0.01;0.12;9.75;-0.17;0.0;9.8;0.15;0.12;0.05;0.01;-0.01;0.0;320.0;-4.25;34.68;-13.79;6.89;0.0;0.94;3.5;-0.01;33.047;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;135505;2014-12-10 11:21:52:551
-0.14;0.01;9.72;-0.17;0.0;9.8;0.0;0.0;0.01;0.0;0.0;0.0;320.0;-4.08;35.09;-13.25;6.88;0.0;0.99;3.5;-0.01;32.992;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;136005;2014-12-10 11:21:53:051
-0.15;-0.02;9.7;-0.16;0.0;9.8;-0.02;-0.02;0.0;0.0;0.01;0.0;320.0;-5.1;34.07;-14.7;8.79;0.0;0.99;3.5;-0.01;33.19;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;136504;2014-12-10 11:21:53:550
-0.14;0.0;9.7;-0.16;0.0;9.8;0.0;0.0;-0.01;0.0;0.0;0.0;320.0;-5.16;34.8;-14.88;8.52;0.0;0.94;3.5;-0.01;32.858;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;137005;2014-12-10 11:21:54:051
-0.14;0.0;9.72;-0.16;0.0;9.8;0.0;0.0;0.01;0.0;0.0;0.0;320.0;-4.14;34.07;-13.74;7.09;0.0;0.94;3.5;-0.01;32.762;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;137504;2014-12-10 11:21:54:550
-0.1;0.02;9.7;-0.16;0.0;9.8;0.02;0.02;0.0;0.0;0.0;0.0;320.0;-5.28;33.48;-14.58;9.03;0.0;0.94;3.5;-0.01;32.686;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;138005;2014-12-10 11:21:55:051
-0.58;-0.16;9.26;-0.16;0.0;9.8;-0.43;-0.15;-0.36;-0.01;0.03;0.0;320.0;-3.9;34.38;-13.44;7.06;0.0;0.94;3.5;-0.01;33.062;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;138504;2014-12-10 11:21:55:550
-0.07;0.05;9.72;-0.16;0.0;9.8;0.05;0.05;0.01;0.0;-0.01;0.0;320.0;-4.73;34.86;-13.5;8.49;0.0;0.99;3.5;-0.01;32.751;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;139004;2014-12-10 11:21:56:050
-0.09;0.04;9.71;-0.16;0.0;9.8;0.04;0.03;0.0;0.01;0.0;0.0;320.0;-4.56;34.43;-14.7;8.77;0.0;0.94;3.5;-0.01;32.845;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;139506;2014-12-10 11:21:56:552
-0.11;0.01;9.7;-0.16;0.0;9.8;0.01;0.01;0.0;0.0;0.0;0.0;320.0;-3.84;34.43;-13.44;7.06;0.0;0.94;3.5;-0.01;32.978;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;140004;2014-12-10 11:21:57:050
-0.13;0.0;9.69;-0.16;0.0;9.8;0.0;0.0;-0.02;0.0;0.0;0.0;320.0;-3.9;34.14;-13.92;7.09;0.0;0.94;3.5;-0.01;33.141;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;140505;2014-12-10 11:21:57:551
-0.14;0.01;9.69;-0.16;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.56;34.68;-14.7;8.52;0.0;0.94;3.5;-0.01;32.911;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;141005;2014-12-10 11:21:58:051
-0.15;0.0;9.7;-0.15;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.79;34.25;-12.78;8.71;0.0;0.94;3.5;-0.01;32.85;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;141505;2014-12-10 11:21:58:551
-0.11;-0.01;9.71;-0.15;0.0;9.8;0.01;-0.01;0.0;0.0;0.0;0.0;320.0;-4.79;36.18;-15.83;8.29;0.0;0.88;3.5;1010.1;33.056;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;142005;2014-12-10 11:21:59:051
-0.12;0.0;9.71;-0.15;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.85;34.2;-14.82;8.74;0.0;0.88;3.5;-0.01;33.439;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;142505;2014-12-10 11:21:59:551
-0.14;0.01;9.69;-0.15;0.0;9.8;0.0;0.01;0.02;0.0;0.0;0.0;320.0;-3.84;33.48;-14.28;7.28;0.0;0.88;3.5;-0.01;33.162;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;143005;2014-12-10 11:22:00:051
-0.13;0.01;9.69;-0.15;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.38;35.04;-13.67;6.87;0.0;0.88;3.5;-0.01;33.475;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;143506;2014-12-10 11:22:00:552
-0.13;0.01;9.69;-0.15;0.0;9.8;0.0;0.0;0.02;0.0;0.0;0.0;320.0;-4.98;32.64;-14.04;8.98;0.0;0.88;3.5;-0.01;33.097;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;144005;2014-12-10 11:22:01:051
-0.14;0.01;9.71;-0.15;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.25;33.96;-13.92;7.06;0.0;0.88;3.5;-0.01;33.639;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;144505;2014-12-10 11:22:01:551
-0.11;0.02;9.71;-0.15;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.79;34.62;-14.64;8.5;0.0;0.88;3.5;-0.01;33.334;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;145005;2014-12-10 11:22:02:051
-0.11;0.01;9.72;-0.15;0.0;9.8;0.03;0.01;0.02;0.0;0.0;0.0;320.0;-4.5;33.96;-13.98;7.06;0.0;0.88;3.5;-0.01;32.809;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;145506;2014-12-10 11:22:02:552
-0.11;0.0;9.7;-0.14;0.0;9.8;0.02;0.0;0.0;-0.01;0.0;0.0;320.0;-4.98;35.39;-14.34;8.47;0.0;0.88;3.5;-0.01;33.23;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;146004;2014-12-10 11:22:03:050
-0.13;0.0;9.68;-0.14;0.0;9.8;0.0;0.0;-0.01;0.0;0.0;0.0;320.0;-4.92;33.48;-13.67;8.95;0.0;0.82;3.5;-0.01;33.084;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;146511;2014-12-10 11:22:03:557
-0.14;0.0;9.69;-0.14;0.0;9.8;0.0;0.0;-0.02;0.0;0.0;0.0;320.0;-5.16;33.71;-13.79;8.69;0.0;0.82;3.5;-0.01;33.258;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;147018;2014-12-10 11:22:04:064
-0.16;0.02;9.66;-0.14;0.0;9.8;-0.02;0.01;-0.04;0.0;0.0;0.0;320.0;-4.19;34.68;-13.5;6.82;0.0;0.82;3.5;-0.01;32.796;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;147505;2014-12-10 11:22:04:551
-0.14;0.0;9.69;-0.14;0.0;9.8;0.0;0.0;-0.01;0.0;0.0;0.0;320.0;-5.16;33.36;-15.24;8.98;0.0;0.82;3.5;-0.01;33.113;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;148005;2014-12-10 11:22:05:051
-0.15;0.0;9.71;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-5.16;34.2;-14.16;8.69;0.0;0.82;3.5;-0.01;33.142;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;148505;2014-12-10 11:22:05:551
-0.14;0.0;9.68;-0.14;0.0;9.8;0.0;0.0;-0.01;0.0;0.0;0.0;320.0;-4.38;33.78;-14.4;7.04;0.0;0.82;3.5;-0.01;32.555;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;149005;2014-12-10 11:22:06:051
-0.16;0.0;9.7;-0.14;0.0;9.8;-0.01;0.0;-0.01;0.0;0.0;0.0;320.0;-5.28;33.96;-14.75;8.72;0.0;0.82;3.5;-0.01;32.921;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;149505;2014-12-10 11:22:06:551
-0.13;0.0;9.71;-0.14;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-3.84;34.68;-13.74;6.84;0.0;0.82;3.5;-0.01;33.139;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;150004;2014-12-10 11:22:07:050
-0.16;0.0;9.7;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-5.46;34.02;-14.04;7.04;0.0;0.82;3.5;-0.01;33.587;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;150505;2014-12-10 11:22:07:551
-0.12;0.01;9.7;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-5.22;34.32;-14.46;8.69;0.0;0.82;3.5;-0.01;32.792;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;151005;2014-12-10 11:22:08:051
-0.13;0.0;9.71;-0.14;0.0;9.8;0.0;0.0;0.01;0.0;0.0;0.0;320.0;-3.84;34.14;-13.86;7.04;0.0;0.82;3.5;-0.01;33.275;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;151505;2014-12-10 11:22:08:551
-0.14;0.0;9.69;-0.14;0.0;9.8;0.01;0.0;0.0;0.0;-0.01;0.0;320.0;-5.4;35.04;-14.7;8.47;0.0;0.82;3.5;-0.01;32.9;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;152005;2014-12-10 11:22:09:051
-0.14;0.0;9.7;-0.14;0.0;9.8;0.01;0.0;0.02;0.0;0.0;0.0;320.0;-4.85;34.2;-13.67;8.69;0.0;0.82;3.5;-0.01;33.404;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;152505;2014-12-10 11:22:09:551
-0.12;0.0;9.71;-0.14;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.25;34.25;-13.67;7.04;0.0;0.82;3.5;-0.01;33.499;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;153005;2014-12-10 11:22:10:051
-0.13;0.0;9.69;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.73;34.5;-14.4;8.45;0.0;0.82;3.5;-0.01;33.095;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;153505;2014-12-10 11:22:10:551
-0.14;-0.01;9.71;-0.14;0.0;9.8;0.0;-0.01;0.0;0.0;0.0;0.0;320.0;-4.02;33.05;-13.86;7.25;0.0;0.82;3.5;-0.01;32.953;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;154005;2014-12-10 11:22:11:051
-0.15;0.0;9.69;-0.14;0.0;9.8;-0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.98;34.73;-14.21;8.45;0.0;0.82;3.5;-0.01;33.111;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;154505;2014-12-10 11:22:11:551
-0.16;-0.02;9.69;-0.14;0.0;9.8;0.0;-0.03;0.0;0.0;0.0;0.0;320.0;-4.92;34.86;-13.92;8.45;0.0;0.82;3.5;-0.01;33.003;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;155004;2014-12-10 11:22:12:050
-0.01;0.08;9.76;-0.14;0.0;9.8;0.13;0.07;0.07;0.0;-0.03;0.0;320.0;-5.28;32.46;-13.74;9.23;0.0;0.82;3.5;-0.01;33.028;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;155519;2014-12-10 11:22:12:565
-0.11;0.01;9.71;-0.14;0.0;9.8;0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.25;35.09;-13.25;6.82;0.0;0.82;3.5;-0.01;32.568;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;156005;2014-12-10 11:22:13:051
-0.14;0.01;9.71;-0.14;0.0;9.8;0.0;0.01;0.0;0.0;0.0;0.0;320.0;-4.38;34.02;-13.92;7.04;0.0;0.82;3.5;-0.01;33.859;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;156505;2014-12-10 11:22:13:551
-0.13;-0.01;9.7;-0.14;0.0;9.8;0.0;-0.02;0.0;0.0;0.0;0.0;320.0;-4.44;33.05;-14.52;7.28;0.0;0.82;3.5;-0.01;33.776;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;157005;2014-12-10 11:22:14:051
-0.13;0.02;9.7;-0.14;0.0;9.8;-0.01;0.0;0.0;0.0;0.0;0.0;320.0;-4.62;34.38;-13.44;8.67;0.0;0.82;3.5;-0.01;33.346;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;157505;2014-12-10 11:22:14:551
-0.16;-0.01;9.68;-0.14;0.0;9.8;-0.02;-0.02;-0.02;0.0;0.01;0.0;320.0;-4.31;33.23;-14.52;7.28;0.0;0.82;3.5;-0.01;34.032;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;158005;2014-12-10 11:22:15:051
-0.15;0.01;9.69;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-4.25;34.86;-13.98;6.84;0.0;0.82;3.5;-0.01;33.255;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;158505;2014-12-10 11:22:15:551
-0.14;0.0;9.7;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-5.04;34.8;-13.5;8.43;0.0;0.82;3.5;-0.01;33.985;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;159005;2014-12-10 11:22:16:051
-0.12;0.03;9.69;-0.14;0.0;9.8;0.01;0.01;0.0;0.0;0.0;0.0;320.0;-5.1;33.78;-14.16;8.69;0.0;0.82;3.5;-0.01;33.691;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;159506;2014-12-10 11:22:16:552
-0.16;0.0;9.8;-0.14;0.0;9.8;-0.02;-0.01;0.08;0.0;0.0;0.0;320.0;-3.48;34.32;-13.38;5.35;0.0;0.82;3.5;-0.01;33.403;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;160004;2014-12-10 11:22:17:050
-0.13;0.0;9.71;-0.14;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;320.0;-5.04;34.07;-14.7;8.72;0.0;0.82;3.5;-0.01;33.535;24.786392;120.99741;;293.56188069555793;;;164.51613;;0 / 16;160512;2014-12-10 11:22:17:558
