0,0,2,0,0,0,0,1,0,3,16,0,1,0,0,7,2,7,0,0,0,0,0,1,8,18,0,0,10,0,7,18,0,7,0,0,1,0,10,0,3,22,5,0,0,0,19,0,17,2,0,0,3,44,0,0,7,4,9,0,0,0,0,9,0,0,0,0,6,0,0,0,22,12,4,2,31,2,0,0,8,0,193,0,0,1,0,2,9,0,26,3,0,0,0,0,0,0,4,12
0,0,0,0,5,0,0,0,0,7,1,0,0,0,0,5,74,2,0,1,0,1,0,2,1,14,0,0,4,11,1,8,0,8,0,1,0,0,17,2,1,4,0,0,0,0,7,0,20,0,0,0,0,15,0,0,0,6,21,0,0,0,0,5,17,0,1,0,5,39,0,0,2,7,0,0,2,82,0,0,27,1,0,0,0,0,0,1,43,0,16,0,2,0,19,0,2,0,88,2
0,0,0,0,3,0,0,3,0,6,3,0,0,0,0,0,14,0,0,0,0,8,0,35,1,1,0,0,0,3,0,0,0,0,0,5,0,0,4,2,0,5,7,0,0,1,0,0,4,1,0,0,0,5,0,0,0,18,28,0,0,32,1,0,3,0,22,0,20,47,0,0,0,3,0,0,6,73,0,0,6,5,0,0,0,16,0,0,31,0,4,0,25,0,106,0,4,0,39,0
0,0,0,0,3,0,0,3,0,2,1,0,0,0,0,0,0,2,0,0,0,15,0,33,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,1,0,0,0,16,15,0,0,29,0,0,0,0,120,0,6,22,0,0,2,0,0,0,1,7,0,0,0,2,0,0,0,12,0,0,2,0,0,0,112,0,143,0,0,1,7,0
2,18,0,0,0,0,0,0,0,1,0,1,0,0,44,0,26,0,0,28,0,3,76,3,0,0,0,0,0,6,0,0,0,0,4,0,0,0,1,56,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,7,41,0,2,0,0,19,0,0,0,2,122,3,1,0,0,0,0,0,35,0,0,5,0,0,0,14,4,0,0,18,0,0,3,1,0,17,1,0,1,27,0
24,85,0,0,0,2,1,0,6,0,0,0,0,1,23,0,0,0,1,1,2,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,10,0,3,0,0,0,0,2,0,0,0,0,0,5,2,0,0,1,2,0,0,0,67,0,0,0,0,0,18,0,0,0,4,163,3,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,3,0,0,0,2,0,13,69,67,0,0,1,0
40,1,2,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,35,2,0,16,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,123,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,108,225,11,0,0,0,0
0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4,12,3,0,2,0,9,0,0,0,1,0,0,0,14,6,0,0,0,0,1,34,0,0,0,30,0,3,189,3,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,46,0,0,0,1,0,0,211,0,5,0,0,0,0,0,0,0,0
5,115,0,0,0,17,0,0,2,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,10,0,0,0,0,0,25,0,1,0,0,98,4,0,1,0,0,0,0,0,0,1,0,0,2,112,0,1,3,0,104,0,5,0,1,0,25,0,0,0,0
2,218,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,14,0,0,7,0,1,20,0,0,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0,10,37,0,0,0,0,0,11,2,8,0,1,0,0,0,2,1,2,3,2,73,1,0,4,0,0,9,3,0,0,5,0,86,0,0,0,0,4,2,1,0,2,0,0,0,35,0,0,2,0
