0,0,0
0.46465,2.0839,0.73422
0.99043,4.4419,1.565
1.7443,7.8231,2.7563
2.7567,12.363,4.356
4.0481,18.143,6.3966
5.6369,23.495,8.9072
7.5402,27.181,11.915
9.6566,29.678,15.242
11.739,32.087,18.461
13.783,34.451,21.562
15.792,36.776,24.551
17.77,39.064,27.43
19.72,41.319,30.203
21.643,43.544,32.872
23.542,45.74,35.439
25.418,47.911,37.905
27.274,50.057,40.273
29.11,52.181,42.541
30.927,54.283,44.713
32.727,56.365,46.787
34.51,58.427,48.764
36.278,60.472,50.645
38.031,62.5,52.429
39.769,64.511,54.127
41.495,66.507,55.802
43.207,68.488,57.464
44.907,70.455,59.114
46.596,72.408,60.752
48.273,74.348,62.38
49.939,76.275,63.997
51.595,78.191,65.604
53.241,80.094,67.202
1.5625,-3.1919,2.2816
2.0272,-1.108,3.0158
2.5529,1.25,3.8466
3.3068,4.6311,5.0379
4.3192,9.1714,6.6376
5.6106,14.767,8.6781
7.1994,19.478,11.189
9.0556,22.9,14.115
10.957,25.975,17.072
12.862,28.875,19.986
14.765,31.637,22.843
16.659,34.286,25.632
18.542,36.844,28.347
20.412,39.326,30.983
22.268,41.742,33.536
24.109,44.103,36.005
25.937,46.415,38.386
27.749,48.684,40.68
29.548,50.914,42.884
31.332,53.111,44.999
33.103,55.276,47.023
34.86,57.414,48.956
36.605,59.525,50.796
38.337,61.612,52.545
40.057,63.678,54.227
41.766,65.722,55.896
43.463,67.748,57.552
45.149,69.755,59.198
46.825,71.745,60.832
48.49,73.719,62.455
50.145,75.677,64.069
51.791,77.621,65.672
53.428,79.552,67.266
3.3306,-6.8038,4.8633
3.7952,-4.7199,5.5975
4.321,-2.3618,6.4283
5.0749,1.0193,7.6196
6.0873,5.5595,9.2193
7.3786,10.711,11.26
8.9309,14.947,13.708
10.583,18.774,16.282
12.291,22.315,18.906
14.037,25.619,21.544
15.805,28.727,24.17
17.587,31.674,26.766
19.375,34.488,29.317
21.164,37.19,31.814
22.951,39.797,34.248
24.733,42.323,36.613
26.508,44.781,38.904
28.275,47.177,41.12
30.033,49.521,43.255
31.782,51.817,45.309
33.522,54.072,47.278
35.251,56.289,49.163
36.97,58.472,50.96
38.68,60.625,52.671
40.379,62.748,54.343
42.069,64.846,56.005
43.749,66.92,57.655
45.42,68.972,59.294
47.082,71.002,60.923
48.734,73.014,62.542
50.377,75.007,64.151
52.012,76.983,65.75
53.638,78.942,67.34
5.8658,-11.983,8.5652
6.3304,-9.8988,9.2994
6.8562,-7.5408,10.13
7.6101,-4.1596,11.322
8.607,0.36081,12.895
9.7787,5.1111,14.729
11.088,9.6237,16.758
12.507,13.855,18.93
14.009,17.808,21.199
15.575,21.505,23.527
17.188,24.976,25.885
18.834,28.251,28.248
20.505,31.359,30.597
22.193,34.323,32.918
23.89,37.163,35.198
25.594,39.897,37.429
27.301,42.539,39.603
29.008,45.1,41.714
30.712,47.59,43.757
32.413,50.019,45.728
34.11,52.393,47.624
35.801,54.717,49.442
37.486,56.997,51.179
39.164,59.237,52.854
40.835,61.441,54.514
42.499,63.612,56.165
44.156,65.752,57.805
45.805,67.865,59.436
47.446,69.952,61.057
49.081,72.015,62.668
50.707,74.056,64.27
52.326,76.077,65.864
53.938,78.078,67.448
9.2082,-18.671,13.43
9.6225,-16.37,14.077
10.076,-13.699,14.783
10.699,-9.7894,15.749
11.494,-5.2374,16.973
12.444,-0.55942,18.426
13.533,4.0585,20.075
14.74,8.5115,21.882
16.045,12.751,23.811
17.431,16.764,25.828
18.88,20.557,27.905
20.381,24.145,30.015
21.921,27.548,32.14
23.492,30.787,34.26
25.087,33.88,36.362
26.698,36.845,38.434
28.323,39.698,40.466
29.956,42.45,42.45
31.594,45.115,44.379
33.236,47.702,46.247
34.879,50.22,48.051
36.522,52.675,49.786
38.163,55.075,51.455
39.801,57.425,53.107
41.436,59.729,54.751
43.067,61.992,56.386
44.693,64.217,58.013
46.314,66.408,59.631
47.93,68.567,61.24
49.54,70.697,62.842
51.145,72.8,64.435
52.744,74.878,66.019
54.337,76.932,67.596
12.652,-23.67,18.222
12.975,-20.975,18.711
13.331,-18.116,19.249
13.827,-14.516,19.997
14.469,-10.382,20.957
15.25,-5.9529,22.118
16.16,-1.422,23.458
17.187,3.0757,24.955
18.316,7.456,26.58
19.534,11.673,28.308
20.826,15.706,30.113
22.18,19.551,31.972
23.586,23.217,33.865
25.035,26.712,35.774
26.518,30.052,37.684
28.028,33.251,39.581
29.561,36.322,41.455
31.111,39.279,43.295
32.674,42.133,45.094
34.247,44.895,46.844
35.827,47.574,48.54
37.413,50.179,50.183
39.002,52.716,51.815
40.593,55.193,53.441
42.184,57.615,55.062
43.775,59.986,56.677
45.364,62.312,58.285
46.952,64.596,59.886
48.536,66.842,61.481
50.117,69.052,63.069
51.695,71.23,64.649
53.269,73.377,66.223
54.839,75.496,67.789
15.996,-26.582,22.576
16.255,-24.277,22.956
16.544,-21.879,23.378
16.949,-18.765,23.968
17.477,-15.066,24.733
18.128,-10.969,25.67
18.896,-6.6476,26.766
19.774,-2.2405,28.005
20.753,2.1498,29.37
21.821,6.4547,30.841
22.968,10.632,32.396
24.184,14.661,34.017
25.46,18.531,35.685
26.787,22.242,37.384
28.156,25.802,39.099
29.562,29.217,40.815
30.998,32.499,42.522
32.458,35.658,44.209
33.94,38.704,45.866
35.437,41.646,47.487
36.949,44.496,49.08
38.471,47.259,50.675
40.001,49.946,52.27
41.538,52.562,53.864
43.079,55.113,55.456
44.624,57.606,57.045
46.171,60.045,58.629
