0.58358,-0.25126,0.71411,-0.0010374,-0.0018947,-0.001922,0.0017328,8.3399e-005,-0.0013175,0.0034817,0.0022802,0.64821,0.87345
-0.13248,-0.98492,0.04826,0.007596,-0.0058437,0.0090384,-0.0063294,-0.0038852,0.0017741,0.0034565,0,0.72724,0.84598
-0.14374,0.16552,-0.93903,0.0022556,-0.014616,-4.9564e-005,0.003151,0.002143,0.0031009,0.0039678,0.0033053,0.73773,0.84246
-0.17781,0.95682,-0.19822,-0.00020539,0.00033236,0.00037328,7.8636e-005,-0.00030539,-2.4115e-005,0.0039063,0.39333,0.48148,0.9315
-0.90904,-0.049396,0.25868,-0.0020237,-0.0025801,-0.0050492,-0.0063128,-0.0007454,-0.0044845,0.0038196,0.0014251,0.74975,0.82911
-0.0076914,-0.93142,0.33223,0.085894,0.0022111,0.041723,0.0044789,-0.022037,0.012016,0.0034249,0,0.7459,0.85191
0.95135,0.15834,-0.10983,-0.00075963,-0.0071027,7.6933e-005,-0.0027939,-0.00035318,-0.00089538,0.0035994,0,0.74049,0.9075
0.035853,0.99175,-0.0065713,0.040157,0.00092768,-0.013039,-0.0085655,0.0063986,0.00052467,0.0037032,0.0001201,0.71476,0.85725
-0.063604,-0.061134,0.99412,-0.00024645,0.00018347,8.6141e-005,-0.00060597,0.001013,-7.3874e-005,0.0031563,0,0.4642,0.89894
-0.14657,0.98201,0.061579,0.0013089,3.7765e-005,0.00016555,-0.00019139,0.00029737,-0.00043576,0.0039063,0.39333,0.448,0.93105
-0.055816,0.7704,-0.6092,0.0053875,-0.0030135,-0.0063797,0.00036602,-0.00055096,0.0043914,0.0035589,0,0.75728,0.86227
-0.015823,0.40372,0.91036,-0.0027929,0.00014643,-0.00049238,-0.00040455,0.00081034,-0.00062546,1,0.9025,0.76355,0.80532
0.85301,-0.31179,-0.39674,0.084757,0.15746,0.015588,-0.026195,-0.0094387,-0.0044625,0.0036161,0,0.75457,0.8868
